title,published_time,channel_id,video_id
"Dumpster Diving at Stores – Tons of Meats, Cheeses, &amp; Other Great Food!",2023-06-08T18:00:12Z,UCRmVrFuuTLLnPv7GMiZg69A,J5d1qa-oiGo
DUMPSTER DIVING - WOW!!! I FOUND THIS SECRET BOX. YOU WON&#39;T BE BELIEVE WHAT&#39;S INSIDE. JACKPOT,2023-09-19T15:30:32Z,UCTkI_3Wy5bdG3QW3xglc76w,Q3GNAU4zWXE
WE FOUND THE HOLY GRAIL OF DUMSPTER DIVING!,2024-01-30T21:33:38Z,UCR4u4zBm37-uODgDlvsu7Bg,IKTO_O_9IvM
Adams Back! Staci SCORED HUGE Dumpster Diving 111° Temps,2023-08-21T19:34:26Z,UCZZbzBbSCrnUGtF43B5WCTQ,1uQ1UIRCr3I
DUMPSTER DIVING - JACKPOT! WE FILLED THE CAR WITH DUMPSTER DIVING GOODIES!,2023-04-17T23:47:44Z,UCRhMrkNyXHub89ngqI0ZqXA,dw-to139NPA
What&#39;s the Best Time To Go Dumpster Diving?,2019-01-11T23:40:04Z,UCR4u4zBm37-uODgDlvsu7Bg,jLJyc4FHs_A
Dumpster Diving – We Saw Employees Tossing Merchandise and Whole Cases of Wasted Food,2022-03-13T19:10:45Z,UCRmVrFuuTLLnPv7GMiZg69A,2ITVyud9QHQ
DUMPSTER DIVING AT ALDI ~ FUN DIVE FUN HAUL FUN RESCUED PLANTS FUN LITTLE DOG!,2023-09-18T18:45:24Z,UCR4u4zBm37-uODgDlvsu7Bg,Pm6KyzgZ6lQ
"Dumpster Diving in Australia, WOW or WOAH!!",2022-09-04T22:45:01Z,UC7eaA3EqtRTFxePF0R7Gcuw,tiTW47qwxkw
DUMPSTER DIVING!!PWEDE KA NANG LUMANGOY SA DAMI NG TAPON #tomwallaceofficial #dumpsterdiving #free,2023-10-08T05:00:06Z,UCLhGUbBvYqS9kDFw1aYF6MQ,4H37sYu0tHY
DUMPSTER DIVING ~ HE HITS THE ALDI DUMSPTER AND SCORES ON A VERY COLD WINDY DAY! PANDEMIC POVERTY~,2020-12-30T14:00:19Z,UCR4u4zBm37-uODgDlvsu7Bg,boMe9PuHcqE
Dumpster Diving 2023: We&#39;re Stocked Up Again !,2023-03-04T14:15:05Z,UCisD4wqj1v2ErZtYmyjarrg,bLn1Txunu9w
DAILY GROCERY RUN ~ DUMPSTER DIVING AT ALDI!,2022-11-16T18:57:55Z,UCR4u4zBm37-uODgDlvsu7Bg,_GTjekuN53c
Sometimes it&#39;s What&#39;s BEHIND The Dumpster! ~ DUMSPTER DIVING AT DOLLAR TREE!,2023-07-10T19:45:54Z,UCR4u4zBm37-uODgDlvsu7Bg,Xq2fS8GQKlI
Wow Another Amazing Mega Haul!  Dumspter Diving at Our Favorite ALDI!,2022-09-24T20:36:53Z,UCR4u4zBm37-uODgDlvsu7Bg,gBDkYTMQ58w
"Dumpster Diving 50 Dumpsters, Here&#39;s What I Found!",2022-11-05T19:00:02Z,UCPNhJ3BucPAbjp0F2BLhBYw,9fskH3CBURg
MOM&#39;S IN THE DUMPSTER AGAIN!  DUMSPTER DIVING AT ALDI  ~ YES I&#39;M BACK! FREE FOOD IN HARD TIMES #ALDI,2020-08-30T00:02:10Z,UCR4u4zBm37-uODgDlvsu7Bg,g3tTkgODFas
"DUMSPTER DIVING AT A MEGA SUPER STORE?!  BUT WAIT, DON&#39;T THEY ALL HAVE COMPACTORS?",2019-08-22T17:00:07Z,UCR4u4zBm37-uODgDlvsu7Bg,cM5xkoumCOY
What&#39;s in the ALDI Dumpster?  Dumspter Diving for Free Food! Eat Well For Less!,2018-09-26T20:25:41Z,UCR4u4zBm37-uODgDlvsu7Bg,jEyVk2aQqEE
DUMPSTER DIVING: FRUGAL HUSBAND SCORES BIG IN HARDWARE STORE DUMSPTER ~ HARBOR FREIGHT DUMPSTER DIVE,2020-11-25T18:00:02Z,UCR4u4zBm37-uODgDlvsu7Bg,G6_ufCpddMM
OH DAD POOR DAD MAMMA&#39;S SENT HIM TO THE DUMSPTER &amp; I&#39;M FEELIN SO BLUE ~ FREE FOOD ALDI DUMSPTER DIVE,2022-06-20T19:56:52Z,UCR4u4zBm37-uODgDlvsu7Bg,tHurWpGLuVA
🎯Hit The JACPOT Dumpster Diving At TARGET 🎯,2022-03-23T18:57:21Z,UCZZbzBbSCrnUGtF43B5WCTQ,Qv5-fOSN4so
THEY THREW OUT HALF THE STORE!! DUMSPTER DIVING AT ALDI ~ PLUS HE WORE GLOVES TO MAKE YOU HAPPY!,2021-07-23T18:07:14Z,UCR4u4zBm37-uODgDlvsu7Bg,U4-612IoYO0
"FREE STEAK, HAMBURGER MEAT, SALMON AND MORE ~ DUMSPTER DIVING AT ALDI",2022-11-05T16:00:36Z,UCR4u4zBm37-uODgDlvsu7Bg,xMXTT0rhyP4
Dumpster Diving- Staples threw away a bunch of new school supplies,2021-07-24T00:00:11Z,UC7_oGXjgorWasM0HnmxRyEQ,qxfMCZml_7k
THE GREAT MAY PRODUCE RESCUE ~ DUMSPTER DIVING AT ALDI,2023-05-08T18:10:00Z,UCR4u4zBm37-uODgDlvsu7Bg,i_Zrze4WBPQ
Dumpster Diving (Germany) : CAULIFLOWER RICE FROM THE DUMSPTER,2022-03-26T10:32:56Z,UC6XVWr5Br9jxMwln_Rk_69w,rvinfZTtN3E
HOW TO FIND FREE FOOD ~ DUMSPTER DIVING AT ALDI,2023-08-21T20:58:31Z,UCR4u4zBm37-uODgDlvsu7Bg,ul2m4nprGdg
Dumspter Dive with me! Found a new Cricut #dumpsterdiving #dumpsters,2023-09-13T04:03:47Z,UCy_OnmhI85kW-RhhWqXnFHA,V25cP5FtVVo
Last Prepper Pantry Haul &amp; Dumpster Dive in Arizona/We are Home/Keep Stacking it to the Rafters!!!,2023-05-26T22:29:29Z,UCCL_MMafJKkdhZukYHlNTAA,yAxe6tB2jGw
