title,published_time,channel_id,video_id
DUMPSTER DIVING AT SEPHORA,2017-04-01T16:36:56Z,UCv2LNRhF34_v1VNC08ZuooA,otKxGIA7eA8
DUMPSTER DIVING AT SEPHORA 😱,2022-03-07T19:43:05Z,UC8Cb2XWI7efdcolTw69Tcfg,rb5vWpHfRmw
BIGGEST JACKPOT DUMPSTER DIVING AT ULTA!!! PET STORE THREW AWAY LIVE FISH!!! (rescued),2020-09-02T18:10:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,0aL2P8xF3eA
DUMPSTER DIVING AT ULTA - WHAT’S IN THESE DAMAGED &amp; RETURN BOXES?📦,2021-10-28T14:19:48Z,UC2lowl1XbeX9txdVGypVXOQ,YJwBEQ2fYFc
I HIT THE ULTIMATE JACKPOT DUMPSTER DIVING AT ULTA! THOUSANDS OF DOLLARS WORTH OF MAKEUP 🤑,2022-03-11T17:18:26Z,UC2lowl1XbeX9txdVGypVXOQ,s0d6i6g4tdw
"$3,700+ HUGE ULTA DUMPSTER DIVING HAUL! BRAND NEW IN BOXES! (insane...)",2017-07-13T22:01:43Z,UCge7hfW68xVYCK56yNDY_xg,WulVz9JMrcA
They accidentally threw this away! #dumpsterdiving,2022-05-27T15:01:17Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,zDwMrv7uZ8k
THE MANAGER LEFT ME A HUGE SURPRISE IN THEIR DUMPSTER!,2022-11-14T20:46:39Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,Rn2a39zPYm0
DUMPSTER DIVING- THEY DIDN&#39;T WANT US TO TAKE THE JACKPOT!!!,2020-10-28T01:26:03Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,JLhOCdVXZZ0
"FIVE BELOW LEFT MY WIFE $5,000 WORTH OF MAKEUP IN THEIR DUMPSTER!",2020-03-31T23:46:14Z,UCnC7NbmZ8h-TN-9ScGAu4CQ,AOq4oEpKauU
HUGE ULTA SCORE WHILE DUMPSTER DIVING!!! + Are Ulta returns worth it?,2020-07-05T17:07:21Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,jbLULJeqbzY
DUMPSTER DIVING AT COACH + VICTORIA&#39;S SECRET (IT WAS LOADED)!!!,2021-10-03T02:13:04Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,4spgi-Aw93w
UNBELIEVABLE Amount of FoodWaste at Target! #foodwaste #target #dumpster #waste #food #power  #😱,2022-05-27T04:25:01Z,UCRYYR1Zeu7ULiLyN44HTgkA,9z00YW2f7zA
INSANE FIND!😳Dumpster diving at Apple Store.,2022-12-17T15:43:31Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,lUW3150BkHI
THE EMPLOYEES ACCIDENTALLY THREW THIS AWAY!!! HIDDEN JACKPOT WHILE DUMPSTER DIVING!!!,2022-04-18T20:59:58Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,plmxJqMewh4
WE FOUND THE JAMES CHARLES PALETTE WHILE ULTA DUMPSTER DIVING?! SISTER SHOOK!,2019-03-03T20:22:50Z,UCge7hfW68xVYCK56yNDY_xg,geXdZIMRkno
Dumpster Diving- Store Threw away Tons of Full Boxes! They&#39;re Brand New!,2020-10-19T00:00:01Z,UC7_oGXjgorWasM0HnmxRyEQ,E6nSgSDxQ-M
"I FOUND APPLE, COACH, VICTORIA&#39;S SECRET &amp; NAME BRAND ITEMS  WHILE DUMPSTER DIVING!!!",2021-12-28T21:21:33Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,qe9sIC0at1E
Dumpster Diving TikTok Compilation ✨ #1 | Vlogs from TikTok,2021-02-20T15:00:22Z,UCgmBVVakTSHGX-3XPWhkiAw,X7pQ1SxW3Sw
DUMPSTER DIVING AT APPLE STORE (THEY DIDN&#39;T WANT ME TO FIND THIS!),2022-12-15T03:11:07Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,P_G5VWXO8vM
**DUMPSTER DIVING - UNREAL! THIS DUMPSTER WAS PACKED!!,2021-07-28T01:30:18Z,UCRhMrkNyXHub89ngqI0ZqXA,ySV_Xfe-d3I
DUMPSTER Fortune!!  *THOUSANDS Worth of ULTA/ SEPHORA HOURGLASS Cosmetics!!,2020-04-28T13:29:31Z,UCCgs8C_ERrWBw5tGgi8lEHA,OpGG3qGLBz4
DUMPSTER DIVING- SHUT UP!,2019-02-14T01:00:05Z,UC7_oGXjgorWasM0HnmxRyEQ,QeFQ74vC_hE
LUXURY DUMPSTER DIVING! *INSANE FINDS* #shorts,2021-10-25T04:30:49Z,UCElBquWGtTQ0Uw73v0GbfTA,DozbRWE1Qns
EVERYTHING I FOUND DUMPSTER DIVING FOR ONE WEEK STRAIGHT!! DUMPSTER DIVING AT RETAIL STORES,2020-06-08T00:54:50Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,veQ8eiXa844
Dumpster diving at Ulta. #dumpsterdiving #viral,2022-12-03T16:55:08Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,nJCLptlBK-E
Dumpster diving finds at Sephora,2017-09-14T15:01:08Z,UC1mMyqdhaowu_OnkXirt4PQ,RS4Mzg1lh0Q
Got caught dumpster diving,2022-10-05T20:17:20Z,UC8ReoLFcz5X0C3as0J0Eouw,aQmqfP9GieU
So Much NEW Makeup While Dumpster Diving @ Ulta!!,2020-10-05T16:00:23Z,UCzySZxgvVNPRiM-dqiKIw-Q,nOxxBZGn2Eg
😱MILES DE💰💰💰DUMPSTER DIVING♻️WOW YA NO CABÍA EN EL CARRO TANTO MAQUILLAJE/LO QUE TIRAN EN USA🔥,2021-04-20T20:00:16Z,UCzS8hGBf3BXpgKdeKCgc3zQ,wz4kKPLx69A
APPLE STORE DUMPSTER DIVING JACKPOT!! FOUND iPHONES!! BIGGEST APPLE STORE IN THE WORLD DUMPSTER DIVE,2020-03-03T21:56:51Z,UC_zERQeYFDHNGYb-0iLAlyA,G5m2eR1o090
VICTORIA&#39;S SECRET DUMPSTER WAS LOADED!!! (THEY DIDN&#39;T DESTROY??),2021-10-18T22:53:26Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,6ZqKCfQt3WY
"Life Update| Dumpster Diving, School, MUKBANG,Work, Sephora Sucks",2016-01-18T19:22:00Z,UCwZ04TFYaV6LvBa7eb_dJLw,LQEUg8rpxJU
I found a Diamond necklace while dumpster diving! #dumpsterdiving #shorts,2022-12-27T18:45:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,LV8d9hCx4FE
DUMPSTER DIVIN// IN A DIFFERENT STATE &amp; THE ULTA DUMPSTER WAS AMAZE-BALLS!!😱,2022-07-23T00:35:41Z,UCUcjZhqCFosxUGA5t2eUVDw,LPB1vASb0-k
iPhone FOUND!!! DUMPSTER DIVING AT THE APPLE STORE HUGE JACKPOT!!!!,2020-10-07T02:27:59Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,Z_SUV07a8y0
"HAUL TIME -  SEPHORA, AND FROM DUMPSTER DIVING GROUP!",2015-06-19T21:29:35Z,UCkenikejQRtO8uiJkaOdMDQ,zIqxVt_j7AA
HOW I WENT VIRAL ON TIKTOK SAVING LIVE ANIMALS WHILE DUMPSTER DIVING!!!,2021-10-28T22:20:35Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,bj3xwJpNPK8
"DUMPSTER DIVE! SEPHORA SHOPPING!! ART, SCHOOL, OFFICE SUPPLIES, AND MORE! DUMPSTER DIVING HAUL",2019-10-26T17:58:01Z,UCCgQ6d80YMfRVN3mA3CxlNA,NxxVjxSQpCY
