title,published_time,channel_id,video_id
i Went Dumpster Diving at SEPHORA and THiS is What I Found....,2023-12-16T14:22:08Z,UCMCMjTKUqJ1pUzmHnKrmiCA,Sy7ISPioJ3M
INSANE HIDDEN JACKPOT WHILE DUMPSTER DIVING AT SEPHORA!!!,2023-12-18T21:24:46Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,xgnLbBz7IkM
"Dumpster Diving at Apple, Gucci, &amp; Sephora 😳",2023-06-03T16:56:06Z,UCxB7jMnHekMzHsOl9iZpXrA,0yEEiFLwEzQ
DUMPSTER DIVING AT ULTA - UNBELIEVABLE MAKEUP SCORE!,2023-02-05T15:56:02Z,UC2lowl1XbeX9txdVGypVXOQ,hJLWT7zHdwM
INSANE jackpot while dumpster diving at my most requested place.. #sephora #dumpsterdiving,2023-12-13T23:41:54Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,HoOTgrjxtBw
DUMPSTER DIVING AT SEPHORA,2017-04-01T16:36:56Z,UCv2LNRhF34_v1VNC08ZuooA,otKxGIA7eA8
DUMPSTER DIVING AT SEPHORA 😱,2022-03-07T19:43:05Z,UC8Cb2XWI7efdcolTw69Tcfg,rb5vWpHfRmw
BIGGEST JACKPOT DUMPSTER DIVING AT ULTA!!! PET STORE THREW AWAY LIVE FISH!!! (rescued),2020-09-02T18:10:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,0aL2P8xF3eA
DUMPSTER DIVING AT ULTA - WHAT’S IN THESE DAMAGED &amp; RETURN BOXES?📦,2021-10-28T14:19:48Z,UC2lowl1XbeX9txdVGypVXOQ,YJwBEQ2fYFc
"$3,700+ HUGE ULTA DUMPSTER DIVING HAUL! BRAND NEW IN BOXES! (insane...)",2017-07-13T22:01:43Z,UCge7hfW68xVYCK56yNDY_xg,WulVz9JMrcA
I HIT THE ULTIMATE JACKPOT DUMPSTER DIVING AT ULTA! THOUSANDS OF DOLLARS WORTH OF MAKEUP 🤑,2022-03-11T17:18:26Z,UC2lowl1XbeX9txdVGypVXOQ,s0d6i6g4tdw
