title,published_time,channel_id,video_id
"Dumpster Diving at Apple, Gucci, &amp; Sephora 😳",2023-06-03T16:56:06Z,UCxB7jMnHekMzHsOl9iZpXrA,0yEEiFLwEzQ
DUMPSTER DIVING AT COACH + VICTORIA&#39;S SECRET (IT WAS LOADED)!!!,2021-10-03T02:13:04Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,4spgi-Aw93w
I found a Diamond necklace while dumpster diving! #dumpsterdiving #shorts,2022-12-27T18:45:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,LV8d9hCx4FE
I Went Dumpster Diving At The Mall And Found DESIGNER &amp; NAME BRAND Items,2023-01-23T01:34:53Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,yIZVMkQNhIQ
DUMPSTER DIVING AT APPLE STORE (THEY DIDN&#39;T WANT ME TO FIND THIS!),2022-12-15T03:11:07Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,P_G5VWXO8vM
"I FOUND APPLE, COACH, VICTORIA&#39;S SECRET &amp; NAME BRAND ITEMS  WHILE DUMPSTER DIVING!!!",2021-12-28T21:21:33Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,qe9sIC0at1E
I Went Dumpster Diving at APPLE and This is What I Found....,2023-02-11T18:00:11Z,UCLVihavmaUONy0SeOX_F7aw,WBgP0jRJxZg
I found Gucci while dumpster diving! #dumpsterdiving #gucci #ulta,2023-02-14T02:48:55Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,NjDi4LYRx6Q
VICTORIA&#39;S SECRET DUMPSTER WAS LOADED!!! (THEY DIDN&#39;T DESTROY??),2021-10-18T22:53:26Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,6ZqKCfQt3WY
I found Gucci while dumpster diving! #dumpsterdiving #gucci #ulta,2023-02-14T02:48:55Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,NjDi4LYRx6Q
APPLE STORE DUMPSTER DIVING JACKPOT!! FOUND iPHONES!! BIGGEST APPLE STORE IN THE WORLD DUMPSTER DIVE,2020-03-03T21:56:51Z,UC_zERQeYFDHNGYb-0iLAlyA,G5m2eR1o090
EMPLOYEES SECRET HIDDEN STASH FOUND WHILE DUMPSTER DIVING AT APPLE + NIKE!!!,2022-10-13T20:20:06Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,1G1-Ms-WnR8
I Went Dumpster Diving And Found GOLD &amp; DIAMOND Jewelry,2022-12-26T22:33:55Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,pqT4lGpTm3s
