title,published_time,channel_id,video_id
DUMPSTER DIVIN// WHOLE CASES OF ITEMS JUST TOSSED OUT!??!?!😱,2023-08-23T00:43:13Z,UCUcjZhqCFosxUGA5t2eUVDw,0uOM8NPal84
WE FOUND THE HOLY GRAIL OF DUMSPTER DIVING!,2024-01-30T21:33:38Z,UCR4u4zBm37-uODgDlvsu7Bg,IKTO_O_9IvM
"Dumpster Diving at Stores – Tons of Meats, Cheeses, &amp; Other Great Food!",2023-06-08T18:00:12Z,UCRmVrFuuTLLnPv7GMiZg69A,J5d1qa-oiGo
DUMPSTER DIVING - WOW!!! I FOUND THIS SECRET BOX. YOU WON&#39;T BE BELIEVE WHAT&#39;S INSIDE. JACKPOT,2023-09-19T15:30:32Z,UCTkI_3Wy5bdG3QW3xglc76w,Q3GNAU4zWXE
🎯Hit The JACPOT Dumpster Diving At TARGET 🎯,2022-03-23T18:57:21Z,UCZZbzBbSCrnUGtF43B5WCTQ,Qv5-fOSN4so
***INSANE SCORE *** DUMPSTER DIVING AT HOMEGOODS!!  I TOOK IT ALL!  FREE HAUL  SEPT 2022,2022-09-14T00:39:57Z,UCDvTvh322dsMO3ul0ugeEsw,OXVWkNLXuuA
Adams Back! Staci SCORED HUGE Dumpster Diving 111° Temps,2023-08-21T19:34:26Z,UCZZbzBbSCrnUGtF43B5WCTQ,1uQ1UIRCr3I
Dumpster Diving 2023: We&#39;re Stocked Up Again !,2023-03-04T14:15:05Z,UCisD4wqj1v2ErZtYmyjarrg,bLn1Txunu9w
What&#39;s the Best Time To Go Dumpster Diving?,2019-01-11T23:40:04Z,UCR4u4zBm37-uODgDlvsu7Bg,jLJyc4FHs_A
Dumpster Diving- Staples threw away a bunch of new school supplies,2021-07-24T00:00:11Z,UC7_oGXjgorWasM0HnmxRyEQ,qxfMCZml_7k
DUMPSTER DIVING - JACKPOT! WE FILLED THE CAR WITH DUMPSTER DIVING GOODIES!,2023-04-17T23:47:44Z,UCRhMrkNyXHub89ngqI0ZqXA,dw-to139NPA
Dumpster Diving in MAINE – fun dive in a new city :),2022-10-20T19:30:01Z,UCRmVrFuuTLLnPv7GMiZg69A,EiZl9ixI7CY
Dumpster Diving – We Saw Employees Tossing Merchandise and Whole Cases of Wasted Food,2022-03-13T19:10:45Z,UCRmVrFuuTLLnPv7GMiZg69A,2ITVyud9QHQ
NO WAY!  How Dumpster Diving Dad Finds All of His Favorites in the Dumpster on His Birthday!,2023-10-17T23:29:10Z,UCR4u4zBm37-uODgDlvsu7Bg,mBzM6aWnXAo
UNREAL FREE GROCERY HAUL FRESH FROM THE ALDI DUMSPTER,2023-12-07T20:03:43Z,UCR4u4zBm37-uODgDlvsu7Bg,xqz05KNnReM
"Dumpster Diving in Australia, WOW or WOAH!!",2022-09-04T22:45:01Z,UC7eaA3EqtRTFxePF0R7Gcuw,tiTW47qwxkw
A BEAUTIFUL DIVE ON A BEAUTIFUL DAY ~ DUMSPTER DIVING AT ALDI FOR THE FRESHEST FREE FOOD!,2023-04-12T21:00:12Z,UCR4u4zBm37-uODgDlvsu7Bg,pusfRbgkNOc
