title,published_time,channel_id,video_id
i Went Dumpster Diving at SEPHORA and THiS is What I Found....,2023-12-16T14:22:08Z,UCMCMjTKUqJ1pUzmHnKrmiCA,Sy7ISPioJ3M
"i BOUGHT a $2,000 MYSTERY BOX from a SEPHORA Employee! *I’m scared*",2024-01-13T14:23:08Z,UCMCMjTKUqJ1pUzmHnKrmiCA,RNH8ZKShJZ8
INSANE HIDDEN JACKPOT WHILE DUMPSTER DIVING AT SEPHORA!!!,2023-12-18T21:24:46Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,xgnLbBz7IkM
"Dumpster Diving at Apple, Gucci, &amp; Sephora 😳",2023-06-03T16:56:06Z,UCxB7jMnHekMzHsOl9iZpXrA,0yEEiFLwEzQ
DUMPSTER DIVING AT ULTA - UNBELIEVABLE MAKEUP SCORE!,2023-02-05T15:56:02Z,UC2lowl1XbeX9txdVGypVXOQ,hJLWT7zHdwM
INSANE jackpot while dumpster diving at my most requested place.. #sephora #dumpsterdiving,2023-12-13T23:41:54Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,HoOTgrjxtBw
i BOUGHT LOST SEPHORA Packages For CHEAP!,2023-10-15T13:24:11Z,UCMCMjTKUqJ1pUzmHnKrmiCA,KOmIf7caymw
i BOUGHT UNLiMiTED SEPHORA for my TEEN SiSTERS ONLY! *bad idea?*,2023-12-17T14:23:11Z,UCMCMjTKUqJ1pUzmHnKrmiCA,IH20k5nYdAY
Finding 10-Year-Olds At Sephora,2024-01-19T20:00:11Z,UCs0YbZMZhcK1-zlnquUmXzQ,2HqYzRYGP-0
Ulta Beauty employees Call police and take my photo !!,2023-09-09T21:51:08Z,UCbnFcTjzC2vKKsZH8sdxCrA,PGR5tIGJ-ik
i BOUGHT My SiSTER&#39;S THEiR ENTiRE DREAM SEPHORA ORDERS! *i&#39;M BROKE*,2023-12-10T14:24:09Z,UCMCMjTKUqJ1pUzmHnKrmiCA,gztMpPjBtIQ
i BOUGHT 100 BANNED SEPHORA PRODUCTS!,2024-01-21T14:26:07Z,UCMCMjTKUqJ1pUzmHnKrmiCA,K43XEdqqHBk
DUMPSTER DIVING AT SEPHORA,2017-04-01T16:36:56Z,UCv2LNRhF34_v1VNC08ZuooA,otKxGIA7eA8
NO BUDGET SEPHORA CHALLENGE W/ My SiSTERS!,2023-10-21T13:22:11Z,UCMCMjTKUqJ1pUzmHnKrmiCA,1P34Ajd4UF4
10 year olds at Sephora,2024-01-07T17:50:45Z,UCKjDxR1SHDU2MLu9g8wsblQ,pu6-Pj3WMwE
UNBELIEVABLE Amount of FoodWaste at Target! #foodwaste #target #dumpster #waste #food #power  #😱,2022-05-27T04:25:01Z,UCRYYR1Zeu7ULiLyN44HTgkA,9z00YW2f7zA
DUMPSTER DIVING AT SEPHORA 😱,2022-03-07T19:43:05Z,UC8Cb2XWI7efdcolTw69Tcfg,rb5vWpHfRmw
i CAUGHT My SiSTER SNEAKING a BOY into our HOUSE...,2024-02-04T14:27:09Z,UCMCMjTKUqJ1pUzmHnKrmiCA,4VUnbuEb4mc
BIGGEST JACKPOT DUMPSTER DIVING AT ULTA!!! PET STORE THREW AWAY LIVE FISH!!! (rescued),2020-09-02T18:10:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,0aL2P8xF3eA
DUMPSTER DIVING AT ULTA - WHAT’S IN THESE DAMAGED &amp; RETURN BOXES?📦,2021-10-28T14:19:48Z,UC2lowl1XbeX9txdVGypVXOQ,YJwBEQ2fYFc
"Over $14,000 Worth Of Makeup &amp; Skincare From Ulta!!!",2021-01-21T01:49:48Z,UCzySZxgvVNPRiM-dqiKIw-Q,5owsYdyDyec
They accidentally threw this away! #dumpsterdiving,2022-05-27T15:01:17Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,zDwMrv7uZ8k
"$3,700+ HUGE ULTA DUMPSTER DIVING HAUL! BRAND NEW IN BOXES! (insane...)",2017-07-13T22:01:43Z,UCge7hfW68xVYCK56yNDY_xg,WulVz9JMrcA
$500 at SEPHORA vs. $500 at ULTA | which is better?  shopping spree!,2023-03-26T20:57:18Z,UCKMugoa0uHpjUuq14yOpagw,IxtgWXv14x8
I HIT THE ULTIMATE JACKPOT DUMPSTER DIVING AT ULTA! THOUSANDS OF DOLLARS WORTH OF MAKEUP 🤑,2022-03-11T17:18:26Z,UC2lowl1XbeX9txdVGypVXOQ,s0d6i6g4tdw
Koti’s Sephora Haul,2024-02-05T18:22:12Z,UCGeNsYOMXp0WIp0b3qrrryw,OqfNycCDqoA
DUMPSTER DIVING- THEY DIDN&#39;T WANT US TO TAKE THE JACKPOT!!!,2020-10-28T01:26:03Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,JLhOCdVXZZ0
Wait until you see what they threw away! 🤯 #dumpster #dumpsterdiving,2023-05-26T19:28:30Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,UpkaYIr9YQc
NIKE&#39;S DUMPSTER WAS FULL WITH BRAND NEW CLOTHING &amp; SHOES!,2023-06-15T01:33:13Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,jM9P04uk_Hk
I CAUGHT MY SiBLiNGS DUMPSTER DiViNG @ SEPHORA 😳👀 #shorts,2023-12-16T16:31:43Z,UCMCMjTKUqJ1pUzmHnKrmiCA,ujcRFRXLpQY
Wait until you see what I found! #dumpster #dumpsterdiving #ulta,2023-03-29T16:40:34Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,1Sa1keQZf-8
Kids in Sephora ✨✨#shorts #sephora,2024-01-27T00:23:21Z,UCZnjF2Deaax1MC1KsTjtARQ,jbfMHa6XRkE
SEPHORA KIDS are making the Sephora adults mad…,2024-01-06T19:10:37Z,UCp0-Lh95d_wUTT03fZKeMuQ,FZ-kkd94M2I
i SWAPPED makeup bags with my 10yr old SiSTER! *sephora kid!*,2024-03-03T14:22:06Z,UCMCMjTKUqJ1pUzmHnKrmiCA,9o_51YL0Omg
THE EMPLOYEES ACCIDENTALLY THREW THIS AWAY!!! HIDDEN JACKPOT WHILE DUMPSTER DIVING!!!,2022-04-18T20:59:58Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,plmxJqMewh4
THE MANAGER LEFT ME A HUGE SURPRISE IN THEIR DUMPSTER!,2022-11-14T20:46:39Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,Rn2a39zPYm0
The Truth about Ulta 😳,2023-05-28T06:08:09Z,UCxB7jMnHekMzHsOl9iZpXrA,WXO_Mqq8l3M
FIRST EVER animal in a dumpster #dumpsterdiving,2023-05-30T10:24:40Z,UCFgShUcdT5Kcc3qCNPEjZ5w,dNs9FsAonO0
DUMPSTER DIVING AT COACH + VICTORIA&#39;S SECRET (IT WAS LOADED)!!!,2021-10-03T02:13:04Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,4spgi-Aw93w
I found a Diamond necklace while dumpster diving! #dumpsterdiving #shorts,2022-12-27T18:45:48Z,UCrKJHjQZxlLwV_QbfX2Xe_Q,LV8d9hCx4FE
POV: 11 year olds shopping at Sephora #pov #sephora #makeup #rage,2024-01-08T22:05:37Z,UCuM54mvoSpSAs9RB5C4FysQ,bItIWJLDBrw
Her FIRST time Shopping at SEPHORA!,2023-09-13T22:00:04Z,UCSK3d7u1Kz4NgsvNLbtDaZw,79blf3qc6ho
Trying Sephora Kids Makeup and Skincare,2024-02-21T18:00:18Z,UCS0kA-D1M87dDfkWRl_DLJA,jJ_gLxUHl4A
&quot;Burkenstops&quot; 💀 She makes life so fun 🤩 | #FunnyKids,2023-04-18T21:51:10Z,UC-cNqQJQTqgua06yNFyUCHQ,_KwmUbn5oB4
