title,published_time,channel_id,video_id
"Dumpster Diving at Stores – Tons of Meats, Cheeses, &amp; Other Great Food!",2023-06-08T18:00:12Z,UCRmVrFuuTLLnPv7GMiZg69A,J5d1qa-oiGo
Dumpster Diving – We Saw Employees Tossing Merchandise and Whole Cases of Wasted Food,2022-03-13T19:10:45Z,UCRmVrFuuTLLnPv7GMiZg69A,2ITVyud9QHQ
A BEAUTIFUL DIVE ON A BEAUTIFUL DAY ~ DUMSPTER DIVING AT ALDI FOR THE FRESHEST FREE FOOD!,2023-04-12T21:00:12Z,UCR4u4zBm37-uODgDlvsu7Bg,pusfRbgkNOc
AMAZING PRODUCE MEGA HAUL DUMPSTER DIVING AT ALDI!,2023-10-13T00:37:10Z,UCR4u4zBm37-uODgDlvsu7Bg,zMY5im5wOrc
Wow Another Amazing Mega Haul!  Dumspter Diving at Our Favorite ALDI!,2022-09-24T20:36:53Z,UCR4u4zBm37-uODgDlvsu7Bg,gBDkYTMQ58w
DUMPSTER DIVING ~ HE HITS THE ALDI DUMSPTER AND SCORES ON A VERY COLD WINDY DAY! PANDEMIC POVERTY~,2020-12-30T14:00:19Z,UCR4u4zBm37-uODgDlvsu7Bg,boMe9PuHcqE
Amazing DUMPSTER DIVING &amp; SCORE  Hundreds of Dollars Worth of Meat for Holiday Weekend Barbeque Fun!,2023-07-02T21:42:11Z,UCR4u4zBm37-uODgDlvsu7Bg,6ISGlbd9cbY
What&#39;s in the ALDI Dumpster?  Dumspter Diving for Free Food! Eat Well For Less!,2018-09-26T20:25:41Z,UCR4u4zBm37-uODgDlvsu7Bg,jEyVk2aQqEE
THE GREAT MAY PRODUCE RESCUE ~ DUMSPTER DIVING AT ALDI,2023-05-08T18:10:00Z,UCR4u4zBm37-uODgDlvsu7Bg,i_Zrze4WBPQ
MOM&#39;S IN THE DUMPSTER AGAIN!  DUMSPTER DIVING AT ALDI  ~ YES I&#39;M BACK! FREE FOOD IN HARD TIMES #ALDI,2020-08-30T00:02:10Z,UCR4u4zBm37-uODgDlvsu7Bg,g3tTkgODFas
"This Dumpster Was FULL of Food, Toothpaste, &amp; More",2022-10-22T20:00:09Z,UCRmVrFuuTLLnPv7GMiZg69A,YpBJTTivjf8
Picking Up Groceries for the Week!  Dumspter Diving at ALDI!  Loving These Prices!!!  FREE FREE FREE,2022-10-20T16:00:11Z,UCR4u4zBm37-uODgDlvsu7Bg,KLZej-nDcVA
BACK IN THE DUMPSTER AGAIN ~ DUMSPTER DVING AT ALDI AND BED BATH AND BEYOND ~ AN ALL NEW ALDI!,2020-01-27T20:41:31Z,UCR4u4zBm37-uODgDlvsu7Bg,mzLEF0zNz4c
